Stock,Date,Open,High,Low,Close,Volume,Sector,Prev_Close,Daily_Return,Volatility_x,Volatility_y,Volatility,Cumulative_Return
ADANIENT.NS,2024-07-18,3104.41,3109.41,3055.59,3090.62,1021653,Energy,3107.71,-0.5499226118267195,2.835096658318356,2.835096658318356,2.835096658318356,0.06041797476780131
ADANIENT.NS,2024-07-19,3090.42,3092.92,2998.47,3004.16,1026941,Energy,3090.62,-2.797496942361081,2.835096658318356,2.835096658318356,2.835096658318356,0.030752814347424717
ADANIENT.NS,2024-07-22,3004.16,3025.35,2970.63,2999.32,662085,Energy,3004.16,-0.16110992756709666,2.835096658318356,2.835096658318356,2.835096658318356,0.02909216923483382
ADANIENT.NS,2024-07-23,3018.46,3036.45,2884.88,2993.82,1443331,Energy,2999.32,-0.18337489831028367,2.835096658318356,2.835096658318356,2.835096658318356,0.027205072515980255
ADANIENT.NS,2024-07-24,2993.82,3005.96,2957.79,2969.18,693702,Energy,2993.82,-0.8230287726049104,2.835096658318356,2.835096658318356,2.835096658318356,0.018750879215516658
ADANIENT.NS,2024-07-25,2959.19,3016.11,2943.6,2971.98,1105721,Energy,2969.18,0.09430213055457003,2.835096658318356,2.835096658318356,2.835096658318356,0.01971158299966036
ADANIENT.NS,2024-07-26,2993.47,3107.41,2986.57,3078.93,1942427,Energy,2971.98,3.5986110269921006,2.835096658318356,2.835096658318356,2.835096658318356,0.056407036469001914
ADANIENT.NS,2024-07-29,3092.72,3118.76,3072.43,3087.77,1037474,Energy,3078.93,0.2871127307213917,2.835096658318356,2.835096658318356,2.835096658318356,0.05944011555894102
ADANIENT.NS,2024-07-30,3090.42,3153.39,3065.08,3127.15,1647048,Energy,3087.77,1.275354058106663,2.835096658318356,2.835096658318356,2.835096658318356,0.07295172806593175
ADANIENT.NS,2024-07-31,3139.39,3195.87,3133.4,3167.78,2414005,Energy,3127.15,1.2992661049198186,2.835096658318356,2.835096658318356,2.835096658318356,0.0868922261908438
ADANIENT.NS,2024-08-01,3178.37,3256.33,3150.09,3215.61,6149883,Energy,3167.78,1.50989020702195,2.835096658318356,2.835096658318356,2.835096658318356,0.10330310547498223
ADANIENT.NS,2024-08-02,3198.36,3213.36,3109.41,3159.28,3360209,Energy,3215.61,-1.7517671608186292,2.835096658318356,2.835096658318356,2.835096658318356,0.0839758039889793
ADANIENT.NS,2024-08-05,3083.42,3131.45,2994.77,3036.65,2238921,Energy,3159.28,-3.8815806133043003,2.835096658318356,2.835096658318356,2.835096658318356,0.04190040932843364
ADANIENT.NS,2024-08-06,3082.42,3141.19,3055.69,3071.13,2125201,Energy,3036.65,1.1354617753116103,2.835096658318356,2.835096658318356,2.835096658318356,0.053730790213173174
